customer_name,company,phone_number,email_address,ship_address
Lanmer OÃœ,Lanmer OÃœ,37255646678,elis.harin@lanmer.eu,"VAT ID: EE102115000
Reg nr: 12647876
Tartu maakond  
Estonia"
Leidos Biomedical Research,Leidos Biomedical Research,(301) 846-1127,debra.hogarty@nih.gov,"Leidos Biomedical Research
Debi Hogarty (she/her)
Cambodia"
Life long labs,Life long labs,(630) 445-1109,Lifelonglabs1@gmail.com,"Life long labs
303 Eisenhower ln
South Lombard IL 60148
United States"
Life Quest Diagnostics,Life Quest Diagnostics,nan,billgard@aol.com,"Life Quest Diagnostics
720 Valley Street Suite F
Anaheim CA 92801
United States"
Life Technologies Corporation,Life Technologies Corporation,(877) 378-3623,jason.wan@thermofisher.com,"Life Technologies Corporation
PO Box 1039
Carlsbad CA 92008
United States"
LifeGene Biomarks,LifeGene Biomarks,nan,rguerrero@lifegenedna.com,"LifeGene Biomarks
1812 Ashland Avenue
Garden Level G25P
Baltimore MD 21205
United States"
Lifeline Biosciences,Lifeline Biosciences,(708) 800-2008,nabbil@lifelinebiosciences.com,"Lifeline Biosciences
2777 Finley Road Unit 19
Downers Grove IL 60515
United States"
Limarr Enterprise Sp. z o.o.,Limarr Enterprise Sp. z o.o.,+375 (29) 287-89-38,nan,"Algimed LLC
Limarr Enterprise Sp. z o.o.
8 Mukhtar Auezov St
7th floor
Saryarka District, Astana  10000
Kazakhstan"
Lisa Abaid,Lisa Abaid,nan,nan,"Lisa Abaid 
401 Poplar St 
Laguna Beach CA 92651 
United States 
labaid@gmail.com"
Madre y NiÃ±o,Madre y NiÃ±o,nan,dlarsonbell@gmail.com,"Madre y. Montgomery Gilmer
Gilmer TX 75644
United States"
MCD SERVICIOS INTEGRALES DE DIAGNOSTICOS,MCD SERVICIOS INTEGRALES DE DIAGNOSTICOS,(555) 212-0652,gabrielhernandez@equiver.com.mx,nan
MD ANALYSIS,MD ANALYSIS,nan,lpigman@emaillmc.com,"MD ANALYSIS
1452 East Main St
Hazard KY 41701
United States"
MD Anderson Cancer Center,MD Anderson Cancer Center,nan,mdaccap@mdanderson.org,nan
MDTLA,MDTLA,nan,MDTLA2020@GMAIL.COM,"MDTLA
1529 Cliff Gookin Blvd
Tupelo MS 38801
United States"
MDX Laboratories,MDX Laboratories,nan,nan,nan
Meadows Diagnostics LLC,Meadows Diagnostics LLC,nan,A.GADHALE@MEADOWSDIAGNOSTICS.COM,"Meadows Diagnostics LLC
11720 W AIRPORT BLVD STE 800
Meadows Place TX 77477-3062
United States"
Med Mongol LLC,Med Mongol LLC,(976) 70154448,haliunaa@medmongol.com,"Med Mongol LLC 
Sukhbaatar district, 1st khoroo, 
Embassy Street, 14-1, Atlant Building, 
1st floor, #102, Ulaanbaatar 
14210 Mongolia 
(976) 70154448"
Med Screen Labs,Med Screen Labs,(973) 320-3237,ISHRATILYAS@MEDSCREENLABS.COM,"Med Screen Labs 
992 CLIFTON AVE FL 2 
CLIFTON, NJ 07013-3502 US 
 
Ishrat Ilyas 
(973) 320-3237 
ISHRATILYAS@MEDSCREENLABS. 
COM"
Medbioline LLC,Medbioline LLC,nan,t.butunbaev@medbioline.uz,"Medbioline LLC
Uzbekistan, Tashkent, Yashnabod district, 
Sultanali Mashhadiy str, 162
Tashkent  
Uzbekistan"
MEDEX MEDICAL SUPPLIES INC,MEDEX MEDICAL SUPPLIES INC,(773) 443-4786,fisaila1@gmail.com,"MEDEX MEDICAL SUPPLIES INC
142 W. Higgins Rd
Hoffman Estates IL 60139
United States"
MEDICAGENT,MEDICAGENT,389 2 3091 108,contact@medicagent.mk,"MEDICAGENT
Cvetanka Kulukovska,dipl.chem.ing
ul.Kozara br.13a, 1000 Skopje
North Macedonia"
"Medical Assay Laboratory, Inc","Medical Assay Laboratory, Inc",(630) 430-4762,president@medassay.com,"Dr. Chris Chalokwu 
Medical Assay Laboratory, Inc 
8205 Cass Avenue, Suite 108 
Darien IL 60561-5319 
Dr. Chris Chalokwu 
630-515-0418 
PRESIDENT@MEDASSAY.COM"
Medlab Clinical Laboratory,Medlab Clinical Laboratory,nan,qfarooqui@medlabcorp.com,"Medlab Clinical Laboratory
35 Gaylord St
Elk Grove Village IL 60007
United States"
Medlife Diagnostic,Medlife Diagnostic,nan,mike@medlifediagnostic.com,"Medlife Diagnostic
1717 Brunswick Pike
Lawrence Township NJ 08648
United States"
MedRush Clinical Lab,MedRush Clinical Lab,nan,kbaig@medrushlab.com,"MedRush Clinical Lab
1631 RAND RD
Des Plaines IL 60016
United States"
Medscreen Labs,Medscreen Labs,nan,ishratilyas@medscreenlabs.com,"Medscreen Labs
992 Clifton Ave., 2nd Floor,Clifton, NJ 07013
Clifton NJ 07013
United States"
Meridian Regional Diagnostic LLC,Meridian Regional Diagnostic LLC,nan,ryan.wiseman@atilabiosystems.com,"Meridian Regional Diagnostic LLC
2203 HIGHWAY 39 N STE B
Meridian MS 39301-2609
United States"
Microgen Lab,Microgen Lab,nan,gowtham@devlabwerks.com,"Microgen Lab
14225 Sullyfield Circle
Suite E
Chantilly VA 20151
United States"
Midway Specialty Care,Midway Specialty Care,(772) 464-9746 ext. 430,rtiamiyu@midwaycare.org,"Midway Specialty Care 
356 E Midway Rd. 
Fort Pierce FL 34982 
Angie-Marie Valentin 
avalentin@midwaycare.org 
 (772) 464-9746 ext. 430"
Ministry of Health & Child Care,Ministry of Health & Child Care,nan,cndlovu@uz-ctrc.org,"Ministry of Health & Child Care
C/0 University of Zimbabwe Clinical Trials Research Centre (UZ-CTRC)
15 Phillips Ave
Belgravia, Harare  
Zimbabwe"
Mission Health Center,Mission Health Center,nan,msmhcenter@gmail.com,"Mission Health Center
8027 Strawberry hill Road
Odessa MO 64076
United States"
MMM Diagnostics,MMM Diagnostics,nan,faizan@mmmdiagnostics.com,"MMM Diagnostics
330 E Roosevelt Rd STE 150
Lombard IL 60148
United States"
MMS Clinical Labs,MMS Clinical Labs,nan,sharonda@mmsclinicallabs.com,"MMS Clinical Labs
11251 Richmond Ave Suite F107
Houston TX 77082
United States"
Modern Molecular Diagnostic Lab,Modern Molecular Diagnostic Lab,nan,mohamed@mmdnj.com,"Modern Molecular Diagnostic Lab
430 US-46 E
FAIRFIELD NJ 07004
United States"
MOFFITT CANCER CENTER,MOFFITT CANCER CENTER,(813) 745-0080,Bradley.Sirak@moffitt.org,"Giuliano Lab MRC 2068u
MOFFITT CANCER CENTER
3011 W. Holly Dr.
Tampa FL 33612-9416
United States"
Monty's Clinical Lab LLC,Monty's Clinical Lab LLC,nan,nafees@montyslabs.com,"Monty's Clinical Lab LLC
1556 S RIVER RD
DES PLAINES IL 60018
United States"
MONTYS CLINICAL LAB,MONTYS CLINICAL LAB,(708) 320-9751,samee@mcl-usa.org,"MONTYS CLINICAL LAB
2711 E NEW YORK ST,SUITE 105-106,AURORA IL 60502
Aurora IL 60502
United States"
MRC/UVRI and LSHTM Uganda Research Unit,MRC/UVRI and LSHTM Uganda Research Unit,+256 (0) 417 704195,Joseph.Lutaakome@mrcuganda.org,Entebbe airport
Nanjing Pregene Biomedicine Company Limited,Nanjing Pregene Biomedicine Company Limited,086-15155398892,zhangmeixiang@pregene.net,"Building 8, Biomedical Valley Accelerator Phase 6,
Jiangbei New Area, Nanjing,
Jiangsu Province  
China"
NCI,NCI,(301) 219-4076,deanm@mail.nih.gov,"Basic Health International  
Colonia San Francisco, Avenida Las Camelias #14, San Salvador, San Salvador, El Salvador  
Att: Karla Alfaro 
Kalfaro@basichealth.org  
(503) 7854 7746"
Neglected Tropical Diseases Support Center,Neglected Tropical Diseases Support Center,(678) 687-4434,elong@taskforce.org,"Neglected Tropical Diseases Support Center
330 W Ponce de Leon Ave
Decatur GA 30030
United States"
New Vision Medical Center Inc.,New Vision Medical Center Inc.,nan,newvisionlabsinc1@gmail.com,"New Vision Medical Center Inc. 
176 Middle Street 
Georgetown   
Guyana 
newvisionlabsinc1@gmail.com"
Abeer Abu Saif,Next Generation Co. For Genetic & Consultancies,(+962) 6 463 3299,Abeer@sahoury.com ,"Next Generation Co. For Genetic & Consultancies 
Amman-Jordan / Al-Sayegh Commercial Center-F12, King Hussain Street, Abdali 
Amman   
Jordan 
Abeer@sahoury.com "
Next Generation Co. For Genetics & Consultancies,Next Generation Co. For Genetics & Consultancies,+962(6) 572 7020,bum@nextgenerationco.com,nan
NIH,NIH,nan,nan,"Manuel Sandoval
Calle Principal Colonia Alameda, Contiguo auto Banco BAC,  Tegucigalpa,Honduras ,
Tegucigalpa  
Honduras"
North Star Laboratories,North Star Laboratories,nan,thughes@nslabsla.com,"North Star Laboratories
150 Teal St
Suite 290
St. Rose LA 70087
United States"
Northstar Laboratories,Northstar Laboratories,nan,thughes@nslabsla.com,"Northstar Laboratories
150 TEAL ST STE 290
SAINT ROSE LA 70087
United States"
NORTHWEST MEDICAL LAB INC.,NORTHWEST MEDICAL LAB INC.,(773) 837-7582,fisaila1@gmail.com,"NORTHWEST MEDICAL LAB INC.
1315 Butterfield Road, Suite #201
Downers Grove IL 60515
United States"
Jun Wang,Northwestern University,(312) 503-2965,procurement@northwestern.edu,"Northwestern University
680 N Lake Shore Drive
Suite 1400
Chicago IL 60611
United States"
nQ8,nQ8,nan,drtito@rethix.com,"nQ8
2906 Chase Cross Ln.
Houston TX 77047
United States"
Number One Lab LLC,Number One Lab LLC,nan,yoni@numberonelab.com,"Numelab s.a.r.l. 
Le 457 New Naccache 
P.O.Box 70-410 
Antelias LEBANON 
+961 (1) 39 66 77x603"
NurseDX of Nevada,NurseDX of Nevada,nan,nan,nan
OakCrest Laboratory Services,OakCrest Laboratory Services,nan,talhaaziz68@yahoo.com,"OakCrest Laboratory Services
5000 west 95th street
Oak Lawn IL 60453
United States"
Ohrelle Laboratories,Ohrelle Laboratories,(310) 998-8004,ayelet@ohrelle.com,"Ayelet Laniado 
Ohrelle Laboratories
8200 Wilshire Blvd, 
Beverly Hills CA 90211
United States"
OM Diagnostic Labs,OM Diagnostic Labs,nan,nan,"OM Diagnostic Labs
128 Carnegie Row
Ste 108
Norwood MA 02062-5162
United States"
Omar Rodriguez,Omar Rodriguez,nan,contact@setlabsdx.com,"Omar Rodriguez
21940 S Edgar St
Carson CA 90745
United States"
Cheryl Tang,OMEC Medical,888-777-6121,cherylt@omecmedical.com,"OMEC Medical 
2526 Qume Drive, Suite 16, 
San Jose CA  
United States "
Omni  Diagnostics,Omni  Diagnostics,233-0-302-767-400,info@omni-diagnostics.com,"Omni  Diagnostics
No. 28, Church Crescent North Labone
P.O. BOX An 6153
Accra-Aorth  
Ghana"
One Path Diagnostics,One Path Diagnostics,nan,wbernhardt@opdxsolutions.com,"One Path Diagnostics
6800 Southpoint Parkway Suite 950
Jacksonville FL 32216
United States"
Optimal Labs,Optimal Labs,nan,ELSHEMYLAB@YAHOO.COM,"Optimal Labs
714 Broadway
Paterson NJ 07514
United States"
Our lady of mercy specialist hospital,Our lady of mercy specialist hospital,nan,emilynzeribe@yahoo.com,"Our lady of mercy specialist hospital
102/104 Royce Road
Owerri  
Nigeria"
Oxford Clinical Laboratory,Oxford Clinical Laboratory,nan,josephloevy@gmail.com,"Oxford Clinical Laboratory
397 Haledon Ave. Haledon, NJ 07508
Haledon NJ 07508
United States"
Parameno Health,Parameno Health,nan,mkovalski@parameno.health,"Parameno Health
4887 Alpha Rd., Suite 205
Farmers Branch TX 75244
United States"
Pathologists Without Borders,Pathologists Without Borders,nan,patrickkafuiakakpo@gmail.com,"Pathologists Without Borders
A585/4, Eduardo Mohdlana St, Laterbiokoshie
Accra  
Ghana"
Patrician Solutions,Patrician Solutions,nan,CONTACT@SETLABSDX.COM,"Patrician Solutions
4104 RIO VIEJO DRIVE
Bakersfield CA 93313
United States"
"PCN Healthcare Co.,Ltd.","PCN Healthcare Co.,Ltd.",(662) 096-2002,oversea@pclholding.com,"PCN Healthcare Co.,Ltd.
326/2 Soi Jaran-Sanit Wong 67
Kwang Bangplad, Khet Bangplad
Bangkok  
Thailand"
Peak Clinical Diagnostics,Peak Clinical Diagnostics,nan,amanda@alphadx.net,"AMANDA@PEAKCLINICALDIAGNO 
STICS.COM 
2600 S PARKER RD STE 2-125 
AURORA, CO 80014-1661 US"
Omar Elbulok ,Personic Health Care,571-447-2047,oelbulok@personichealthcare.com,"Personic Health Care 
8133 Leesburg Pike, Suite 600 
Vienna VA 22182 
FAHADHASHMI@PERSONICHEALT 
HCARE.COM "
Pharmalab FZE,Pharmalab FZE,971 50 1084569,inquiry@pharmalabfze.com,"Pharmalab FZE
Niaz Ahmed Sales specialist PHARMALAB FZE
P1- ELOB Office No E-56G-14 Hamriya Free zone Sharjah
United Arab Emirates"
Physician's Toxicology,Physician's Toxicology,nan,brook@phystox.com,"Physician's Toxicology
4433 Manchester Rd
Kalamazoo MI 49001
United States"
PPG Labs,PPG Labs,nan,zmpiekarski00@gmail.com,"PPG Labs
33 W ROOSEVELT RD
LOMBARD IL 60148
United States"
Pr Seynabou LO,Pr Seynabou LO,22177533967,seynabou.lo@ugb.edu.sn,nan
Precision Clinical Lab-NY,Precision Clinical Lab-NY,nan,asif.syed@dxprecision.com,"Precision Clinical Lab-NY
7883 Seneca Turnpike
Clinton NY 13323
United States"
Predicine Inc,Predicine Inc,650-300-218,Bxiang@predicine.com,"Binggang Xiang, M.D., Ph.D.
Associate Director, R&D,  
3555 Arden Rd, Hayward, CA 94545 "
Preferred Lab Services,Preferred Lab Services,nan,preferredlabservices@gmail.com,"Preferred Lab Services
6071 N Milwaukee Ave
Chicago IL 60646
United States"
Pri-Med Care,Pri-Med Care,nan,JIVOIN111@GMAIL.COM,"Pri-Med Care
502 N Valley Pkwy #1
Lewisville TX 75067
United States"
Dr. Jean Robert Dumas,Primary Diagnostics Laboratory LLC,954-505-7301,JRDUMAS67@YAHOO.COM,"Primary Diagnostics Laboratory LLC 
115 S 17th Ave 
Hollywood FL 33020 
United States  "
Prime lab,Prime lab,(818) 485-1004,pmartinyan@yahoo.com,"Prime lab
31344 Via Colinas #104
Westlake Village CA 91362
United States"
Prime Lab Solutions,Prime Lab Solutions,nan,admin@primelabsolutions.com,"Prime Lab Solutions
88 Pompton Ave
Verona NJ 07044
United States"
Prince Laboratories,Prince Laboratories,nan,info@princelaboratories.com,"Prince Laboratories
450 Fairway Drive Unit 104
Deerfield Beach FL 33441
United States"
Principle  Laboratory,Principle  Laboratory,nan,nnbulayeva@principlehs.com,"Principle  Laboratory
16840 Buccaneer Lane, Ste. 261
Houston TX 77058
United States"
Principle Laboratory,Principle Laboratory,nan,NNBULAYEVA@PRINCIPLEHS.COM,"Principle Laboratory
16840 Buccaneer Lane, Ste. 281
Houston TX 77058
United States"
Pro Diagnostics Lab,Pro Diagnostics Lab,(708) 928-9007,abdalqaderismail@yahoo.com,"Pro Diagnostics Lab
7124 W 83rd St D
Bridgeview IL 60455
United States"
Prof Imran Morhason-Bello,University of Ibadan,nan,imranmorhasonbello@gmail.com,"Imran O. Morhason-Bello, 
MBBS, MSc Rep Biol(Ib); MPH(Liverpool), PhD(London), MD, FWACS, FMCOG, FICS 
Department of Obstetrics and Gynaecology, 
Faculty of Clinical Sciences, 
College of Medicine,
Ibadan, Oyo State, 
Nigeria. "
Proteus Genomics LLC,Proteus Genomics LLC,nan,mike.griffith@plabs.com,"Proteus Genomics LLC
46 Shelby Thames Dr
Lab 161
Hattiesburg MS 39402
United States"
Proteus Molecular and Clinical Lab LLC,Proteus Molecular and Clinical Lab LLC,205-478-7302,mike.griffith@plabs.com,"Proteus Molecular and Clinical Lab LLC 
218 Summit Pkwy STE 250 
Homewood AL 35209 
United States 
Attn: Mike Griffith  "
PT INODIA,PT INODIA,-58355850,kuba@inodia.co.id,"PT INODIA 
Perkantoran kedoya Elok Plaza Blok DB no.24 
Jalan Panjang, Kebon Jeruk 
Jakarta Barat 11520- Indonesia 
ATTN:KUBA"
PT. Inodia,PT. Inodia,(622) 158-0685 O,kuba@inodia.co.id,"PT. Inodia
Perkantoran Kedoya Elok Plaza Blok DB no 24
Jalan Panjang, Kebon Jeruk
Jakarta  11520
Indonesia"
PT. KalGen DNA,PT. KalGen DNA,62 813 9891 4849,lidya.yulianissa@kalbe.co.id,"PT. KalGen DNA
Kalbe Business Innovation Center
Kawasan Industri Pulogadung Jl. Pulogadung, No. 23
Jakarta  13930
Indonesia"
Purity Diagnostics,Purity Diagnostics,nan,puritydiagnostic@gmail.com,"Purity Diagnostics
72B NJ-34
Old Bridge NJ 08857
United States"
"Adam Crawford, PhD.",Quantigen,(317) 578-8980,lindsey.turnbull@quantigen.com,"Quantigen 
10300 Kincaid Dr. Ste. 200 
Fishers IN 46037 
Attn: Adam Crawford, PhD. 
adam.crawford@quantigen.com "
"Quantum Laboratory Service, LLC","Quantum Laboratory Service, LLC",nan,michael@medgendiagnostics.com,"Quantum Laboratory Service, LLC
824 North Creek Drive
Conway AR 72032
United States"
Quetelet Endowed Professorship in Public Health,Quetelet Endowed Professorship in Public Health,(205) 934-6459,nan,"Quetelet Endowed Professorship in Public Health Department of Epidemiology,
University of Alabama at Birmingham
Birmingham AL 35294
United States"
RAFAEL RODRÃGUEZ GRUBER,RAFAEL RODRÃGUEZ GRUBER,nan,gruber.rafael@gmail.com,"RAFAEL RODRA�GUEZ GRUBER
Puerto La Cruz, Edo.  Anzoategui Venezuela
Venezuela (Bolivarian Republic of)"
Rance Bradshaw,Rance Bradshaw,nan,management@mainstreamlab.com,"Rance Bradshaw
5354 Gulf Dr
New Port Richey FL 34652
United States"
RapidLab,RapidLab,562-200-5054,admin@biogenediagnostics.com ,"RapidLab 
2465 Reynolds Ave. Unit 101 
North Las Vegas NV 89030 
admin@biogenediagnostics.com 
Attn:ZeyadAbulathoa 562-200-5054"
Reliable Results Lab,Reliable Results Lab,nan,reliableresultslabs@gmail.com,"Reliable Results Lab
600 Fairway Drive Ste 104
Deerfield Beach FL 33441
United States"
ResInnova Clinical Diagnostics,ResInnova Clinical Diagnostics,(205) 965-9370,mbminyard@resinnovalabs.com,"ResInnova Clinical Diagnostics
5640 Fishers Lane, Suite B
Rockville MD 20857
United States"
Ressinova,Ressinova,nan,mbminyard@resinnovalabs.com,"Ressinova
321 Ballenger Center Drive Suite 235
Frederick MD 21703
United States"
RHB Laboratories,RHB Laboratories,nan,raheel@rhblab.com,"RHB Laboratories
575 E. Maple Road
Troy MI 48083
United States"
River Town Diagnostics,River Town Diagnostics,nan,Dawson@rivertowndx.net,"River Town Diagnostics
8563 Argyle Business Loop Suite 5, Jacksonville, FL 32244
Jacksonville FL 32244
United States"
Riverside Clinical Laboratory,Riverside Clinical Laboratory,(562) 900-2700,drdil@infotox.com,"Riverside Clinical Laboratory
7177 Brockton St.
Suite 338
Riverside CA 92506
United States"
Rocky Mountain Pathology,Rocky Mountain Pathology,(303) 762-5291,ddodson@rockymtnlabs.com,"Rocky Mountain Pathology
195 Inverness Dr. West #120
Englewood CO 80112
United States"
Rotary Club of Los Angeles,Rotary Club of Los Angeles,591 79021021,chrissy.moses@rotaryla5.org,"Chrissy Moses
Rotary Club of Los Angeles
chrissy.moses@rotaryla5.org
Nepal"
Rotary Club of Los Angeles : Richard Godfrey,Rotary Club of Los Angeles : Richard Godfrey,(510) 918-2312,richgodfrey77@gmail.com,"Richard Godfrey
Nepal"
S&T Medical Group,S&T Medical Group,(773) 837-7582,fisaila1@gmail.com,"S&T Medical Group
136 W Higgins
Hoffman Estates IL 60169
United States"
Sadeep Shrestha PhD MHS MS,Sadeep Shrestha PhD MHS MS,nan,nan,nan
Scientific Laboratory Supplies Ltd,Scientific Laboratory Supplies Ltd,+44 (0) 1482 649665,cyeomans@scientific-labs.com,"Scientific Laboratory Supplies Ltd 
Unit 6 
Fairham Business Park 
Foresters Avenue 
Faiirham 
Nottingham 
NG11 2AF 
UK "
Jim Modist,Scion Lab Services LLC, 954-715-5040,JM@Sciontesting.com,"Scion Lab Services LLC 
4111 SW 46th Avenue, Unit 335 
Davie FL 33314  
United States"
Select Laboratory Partners,Select Laboratory Partners,(336) 235-3059,nan,"Select Laboratory Partners
PO Box 13029
Greensboro NC 27415
United States"
Sentra Labs,Sentra Labs,nan,sentralabs@outlook.com,"Sentra Labs
40 Bay Shore Ave, Bay shore, NY 11706
Bay Shore NY 
United States"
Set Labs,Set Labs,858-472-5590,contact@setlabsdx.com,"Set Labs 
6725 Mesa Ridge Ste 240 
San Diego CA 92121 
Loagan Doraisamy 
858-472-5590 6725 
CONTACT@SETLABSDX.COM"
Shelby Clinical Lab,Shelby Clinical Lab,nan,karla@shelbywomenhealth.com,"Shelby Clinical Lab
9470 Annapolis Road
Suite 414
Latham MD 20706
United States"
Shelton Diagnostics,Shelton Diagnostics,nan,JamieShelton@sheltonlab.org,"Shelton Diagnostics
1311 South Stevenson Drive Suite 3
Iron Mountain MI 49801
United States"
"Sherlock Biosciences, Inc","Sherlock Biosciences, Inc",(443) 616-8794,mnatoli@sherlock.bio,"Mary Natoli, Ph.D
Sherlock Biosciences, Inc
200 Talcott Ave
Watertown MA 02472
United States"
"SIB Scientific, Inc.","SIB Scientific, Inc.",(408) 518-9747,tim@sibscientific.com,"SIB Scientific, Inc.
7915 Silverton Ave, suite 316
San Diego CA 92126
United States"
Sinergy Laboratory,Sinergy Laboratory,(561) 706-3285,jess@totallabsolutions.org,"Sinergy Laboratory
1701 Green Rd
Suite A
Deerfield Beach FL 33064-1074
United States"
Smartgene laboratory,Smartgene laboratory,9.71E+11,asawafta@najah.edu,"Smartgene laboratory
Nablus west bank 
Old University Street
Palestine, State of"
Southwest Direct Diagnostic Laboratory,Southwest Direct Diagnostic Laboratory,nan,shelbyr@swdirlabs.com,"Southwest Direct Diagnostic Laboratory
3901 Popplewell Street
Fort Worth TX 76118
United States"
"Sovereign Medical Services, Inc.","Sovereign Medical Services, Inc.",nan,rmanina@sovms.com,"Sovereign Medical Services, Inc.
6800 Kinderkamack Rd
Suite 300
Oradell NJ 07649
United States"
Spartan Labs,Spartan Labs,nan,matt@spartanlab.us,"Spartan Labs
6560 West Rogers Circle  Suite 25
Boca Raton FL 33487
United States"
Karina Lapotentova ,Spector Scientific Lab,(561) 507-0522,karina@spectorlab.com ,"Spector Scientific Lab 
160 SW 12th Ave Unit 103B 
Deerfield Beach FL 33442 "
Spectrum Lab Corp,Spectrum Lab Corp,nan,azoumomair@gmail.com,"Spectrum Lab Corp
7958 N Waukegan Rd
Niles IL 60714
United States"
Star Medical Lab,Star Medical Lab,(773) 322-9581,sal@sr21ent.com,"Star Medical Lab
211 E Lake St Suite 100
Addison IL 60101
United States"
Strategic Concepts Lab,Strategic Concepts Lab,nan,mikail@kindlytest.com,"Strategic Concepts Lab
1660 clay st
Santa Clara CA 95050
United States"
STRIVE BIOCORP PRIVATE LIMITED,STRIVE BIOCORP PRIVATE LIMITED,+91 9999978026,sales@strivebiocorp.com,"STRIVE BIOCORP PRIVATE LIMITED
2/16A, GROUND FLOOR, JANGPURA-A
NEW DELHI, INDIA -110014
New Delhi  
India"
Surgeon's Choice,Surgeon's Choice,nan,yisroel@ilabproviders.com,"Surgeon's Choice
22401 Foster Winter Dr
Southfield MI 48075
United States"
Synergistic Health Dx,Synergistic Health Dx,nan,synergistichealthdx@gmail.com,"Synergistic Health Dx
3525 W Peterson Ave #117
Chicago IL 60659
United States"
T3 Diagnostics,T3 Diagnostics,nan,I3DIAGNOSTICS@GMAIL.COM,"T3 Diagnostics
10108 Carano Ct
Irving TX 75063
United States"
Tampa Bay Diagnostic Institute,Tampa Bay Diagnostic Institute,nan,jgiles@tampabaydx.com,"Tampa Bay Diagnostic Institute
1601 W REYNOLDS ST, STE 203
Plant City FL 33563
United States"
Tecnolab S.A.,Tecnolab S.A.,(54-11) 4555-0010,dfeder@tecnolab.com.ar,"MGC TRADING CORP / Fredy Miani
Tecnolab S.A.
13380 S.W. 131 ST
#125
Miami FL 33186
United States"
Telostrand,Telostrand,nan,uraheel@sovms.com,"Telostrand
20 WOODRIDGE AVE STE C
HACKENSACK NJ 07601
United States"
THE George Washington University,THE George Washington University,(202) 994-7194,mlintner22@email.gwu.edu,"THE George Washington University
950 New Hampshire Ave NW,Room No :5th Floor, Alia Murphy,Washington, DC 20052
Washington DC DC 20052
United States"
Tri State Toxicology,Tri State Toxicology,nan,smahomes@tristatetoxicology.com,"422 W. Nakoma Drive
San Antonio TX 78216
United States"
MARLO MURRUFO,TrueDx Laboratories,nan,mmarrufo@advancedlifedx.com,"480 North Sam Houston Parkway East 
Suite 382 
Houston TX 77060 
United States"
UCSF,UCSF,(415) 476-8885,Sepideh.Nozzari@ucsf.edu,"UCSF
513 Parnassus Ave,Med Sciences S420,San Francisco, CA 94143
San Francisco CA 94143
United States"
Ultimo Medical Consulting,Ultimo Medical Consulting,nan,ultimoconsulting@outlook.com,"Ultimo Medical Consulting
670 HILLCREST RD, STE 300
Lilburn GA 30047
United States"
UNC Project-Malawi,UNC Project-Malawi,nan,jennifer_tang@med.unc.edu,"UNC Project-Malawi
UNC Lineberger Comprehensive Cancer Center
450 West Drive
Chapel Hill NC 27599
United States"
Katherine Sorgi,UNC,(919) 698-5283,kasorgi@email.unc.edu,"3009 Old Clinic Building. 
Chapel Hill, NC 27599 
919-698-5283"
United clinical lab,United clinical lab,nan,unitedclinical.4859@gmail.com,"4859 Dover center Rd
North Olmsted OH 44070
United States"
United Clinical Laboratory,United Clinical Laboratory,nan,LUISA@LABUNITED.COM,"United Clinical Laboratory
2257 Vista Parkway Suite 2
West Palm Beach FL 33411
United States"
University of Alabama at Birmingham,University of Alabama at Birmingham,(205) 934-6459,sshresth@uab.edu,"University of Alabama at Birmingham
1665 University Blvd
Ryals Bldg   217L
Birmingham AL 35294
United States"
University of Arizona,University of Arizona,(602) 827-2247,laniewski@arizona.edu,"University of Arizona
Building ABC1, 331E
425 N. 5th Street
Phoenix AZ 
United States"
University of Botswana,University of Botswana,00267 355 5714,moses.koobotse@gmail.com,"Block 246/Office H216, Plot 4775 Notwane and Mobuto Road
Faculty of Health Sciences/School of Allied Health Professions
Gaborone  
Botswana"
University of Calgary,University of Calgary,1 (587) 707-9090,akalra@ucalgary.ca,"HMRB 336F
3330 Hospital Drive NW,
Calgary, AB  T3P0W7
Canada"
University of California Los Angelesiseases,University of California Los Angelesiseases,(310) 825-8600,RCortado@mednet.ucla.edu,"University of California Los Angelesiseases
10833 LeConte Ave.
Los Angeles CA 90095
United States"
"University of California, San Francisco","University of California, San Francisco",nan,support@sciquest.com,"University of California, San Francisco
Supply Chain Management Accounts Payable - Box 0812
1855 Folsom St., Rm 300
San Francisco CA 94143-0812
United States"
University of Global Health Equity,University of Global Health Equity,nan,placide.sesonga@student.ughe.org,"University of Global Health Equity
Kigali Heights, Plot 772 KG 7 Ave., 5th Floor
PO Box 6955
Kigali  
Rwanda"
University of Hawaii - JABSOM,University of Hawaii - JABSOM,nan,etnakano@hawaii.edu,"651 Ilalo Street, BSB 320
Honolulu HI 96813
United States"
Prof. Godwin E. Imade ,University of Jos/Jos,+234 8035860811,ereimade@gmail.com,"Genomics and Post-Graduate Research Laboratory 
Faculty of Clinical Sciences, College of Health Sciences, 
Block A, University of Jos Jos University Teaching Hospital, Lamingo Jos, Plateau State, Nigeria 
 +234 803586081"
University of Kentucky,University of Kentucky,(859) 562-0113,Soma.Bose@uky.edu,"University of Kentucky
760 Press Ave #311,Healthy Kentucky Research Building,Lexington, KY 40506
Lexington KY 40506
United States"
University of Miami,University of Miami,nan,caa204@miami.edu,"University of Miami
P.O. Box 248066
Coral Gables FL 33124-2943
United States"
University of Puerto Rico Cancer Center,University of Puerto Rico Cancer Center,(787) 772-8300 Ext. 5922,aferrer@cccupr.org,"University of Puerto Rico Cancer Center
POB Box 363027
San Juan  00936-3027
Puerto Rico"
